house_code,long,lat,Kandida,Kater,Kawegi,Near Kibuon Maranatha Church,Near Munyu Maranatha Church,Near Umbolwanda,Shirikisho Church,Unassessed,number_of_people
A1*, 34.3947095051408,-1.08380898223452,1215.8114531,351.704889597,1047.27099304,330.609430198,1134.11601553,1083.90340472,993.396876847,219.323748522,10
A2, 34.3952026963234,-1.08270913786314,1349.73344565,476.013508559,927.421431938,409.404744294,1048.02840582,1183.0209123,1126.15041709,297.818223383,7
A3, 34.3951554223895,-1.08309798870754,1308.71973858,432.473208872,958.398484013,391.692764864,1063.70866941,1143.00972514,1086.7104733,278.631857388,10
A4*, 34.3943993747234,-1.08507743986148,1074.69632022,215.109020197,1168.77372775,320.692212052,1217.70368895,967.307213704,857.249074568,236.001453874,9
A5*, 34.3941308185458,-1.08550752196471,1018.44493031,178.751262971,1223.78221642,316.601863716,1264.95834598,938.061156135,800.998468186,248.767009928,6
A6, 34.3941039964557,-1.0860167149603,967.364551945,131.087269384,1266.91520292,348.334709942,1293.13324139,890.075259957,754.048667567,293.628113555,8
A7, 34.3937817960978,-1.08704649803081,850.415421128,113.143327982,1376.36247422,411.394115486,1380.92509047,813.840022022,643.417890215,383.759292083,12
A8, 34.3933244794607,-1.08758250802526,773.21235575,177.245062685,1454.70319412,439.535625002,1455.57267356,799.642712405,565.11450461,430.352462347,7
A9, 34.3931266665459,-1.08798309079196,723.661302829,217.123171085,1502.90387177,473.056014201,1498.20700109,782.488724846,517.564183179,471.905665558,15
A10, 34.3924152106047,-1.08743970612235,742.224080435,269.845826096,1510.81199286,394.020244866,1533.96548617,881.285907977,515.864128303,411.059316206,13
A11, 34.3927028775215,-1.08831763602417,668.058744029,276.796029534,1561.74178285,496.112673481,1558.02112131,791.973662958,458.166804033,507.131482126,5
A12, 34.3920705467463,-1.08880101694541,588.30881148,365.06876548,1648.37007164,539.422416799,1646.32259403,815.17936372,371.253169646,565.745270846,21
A13*, 34.3914881721139,-1.08804711698657,643.6759529,386.80574278,1631.13705035,455.1957933,1656.98576328,916.52842906,406.327571637,496.842740252,5
A14*, 34.3924973532557,-1.08922975765605,568.794494896,358.388458461,1654.42334967,591.865760015,1634.66959782,749.204817365,371.959167811,609.125195049,7
A15, 34.3919136375189,-1.08954083766437,506.775684846,429.424438966,1722.29167294,620.732222629,1707.5242465,786.983617406,300.10537745,649.618826431,20
A16, 34.3918221071362,-1.08987538272369,469.115935526,462.253058228,1757.46588109,657.694332732,1737.66696943,778.947295654,268.560355665,687.898554328,5
A17*, 34.3916504457593,-1.09012143086985,435.99981419,495.06168808,1790.72930752,685.061469319,1769.31496053,784.831993542,237.02360951,717.933093672,6
A18, 34.3908601999283,-1.08609247375283,841.800981372,448.401446951,1539.4612102,256.365749712,1623.86680682,1109.7852726,592.993399834,333.157976228,10
A19, 34.3936336040497,-1.08548372163169,996.057485796,209.904505006,1261.20213887,270.183480227,1313.8961458,967.708031038,772.069632611,216.312287022,9
A20, 34.3934656307101,-1.0856338983778,973.053730341,209.748850789,1286.23920479,267.238966638,1337.838078,963.346292581,747.980152545,223.852052113,6
A21, 34.3927189707756,-1.0855115445562,954.355960459,282.280989402,1338.49254469,203.897246459,1408.24150694,1021.35798504,719.720251568,195.104585473,9
A22, 34.3922160565853,-1.08586720866502,899.1345376,312.039732294,1406.66721728,218.460076669,1475.21390576,1024.55185379,660.602285025,241.694736541,1
A23, 34.3928701803088,-1.08415391962809,1102.7054942,379.442483332,1231.34097018,127.503328159,1340.52477924,1138.1708965,864.419951485,46.535806604,8
A24, 34.392561390996,-1.08395178430893,1114.26045092,417.666841755,1246.45544081,91.3653510594,1367.01126069,1175.21342048,873.008904157,29.1881123241,6
A25, 34.3930113315582,-1.08338493378142,1188.95513909,445.395241954,1169.85953084,155.223378354,1302.4597355,1204.88099265,949.610733277,51.3735712808,8
A26*, 34.3926535919309,-1.08249493466115,1273.36330793,551.777798961,1153.84344654,192.109194956,1321.59180166,1310.95558423,1029.88451044,140.646943331,15
A27, 34.392638169229,-1.08095226890069,1439.8372101,710.947645248,1085.78056051,349.169315525,1306.67938399,1465.8010995,1194.31795505,312.069607983,7
A28, 34.3923290446401,-1.0811000993563,1416.64435545,708.089454978,1123.69391549,324.815090412,1341.6390043,1465.64348073,1170.02362187,298.904510826,8
A29, 34.3918314948678,-1.08119261909356,1396.66441708,722.132335738,1179.22081791,308.018224185,1397.36922235,1481.70343291,1148.39940493,302.412633499,8
A30, 34.391692019999,-1.0813488299479,1377.09818363,714.087102839,1199.7062497,290.527219313,1413.8025457,1473.87217222,1128.5000954,291.912615799,7
A31, 34.3911927938461,-1.0806297906483,1449.31948529,810.968285123,1227.92022399,375.388094506,1466.72028687,1570.74187254,1199.37101874,387.822937782,7
A32, 34.3928718566895,-1.08043201290901,1502.00338415,757.910281096,1042.69456092,412.118372642,1280.14343179,1508.35548268,1256.92193397,370.026346137,0
A33*, 34.3926955014467,-1.07964525963895,1583.28780961,847.390061225,1039.1722256,491.532534175,1303.78509388,1596.68716348,1336.83180475,457.231046951,11
A34, 34.3928674980998,-1.07875056638865,1684.58605987,938.867459621,1003.43180538,592.805891574,1296.56121584,1682.47930555,1438.04391838,556.880487118,11
A35, 34.3940449878573,-1.07930903736556,1656.02347655,856.03131371,884.623598481,577.305448511,1158.25481331,1582.02703214,1414.74419075,515.514489396,2
A36, 34.3945411965251,-1.08073236689447,1523.00746117,694.256605921,879.839450971,475.300118837,1094.58328914,1414.60894238,1287.26212429,391.574013711,16
A37*, 34.3951326236129,-1.08179332688428,1438.52560993,576.912228467,875.853957348,447.659293233,1037.52430792,1283.24628336,1210.32307368,344.365145939,24
A38, 34.3955181911588,-1.08482066439111,1162.68232535,252.17523189,1062.88452253,430.816083732,1092.85720707,948.114662701,956.74252766,331.004360822,10
A39*, 34.3953260779381,-1.08552964621779,1085.21267646,170.70916106,1136.79560711,435.198833425,1147.81850053,880.688894218,883.786751689,348.822330493,4
A40, 34.3902523443103,-1.08560439937469,889.439730232,527.565984463,1562.09224128,246.427253695,1667.67586303,1196.20456467,638.778919479,344.276085993,8
A41, 34.3896310776472,-1.08421191201401,1043.23193313,651.083714455,1540.19635717,236.070511098,1689.34596602,1353.92479273,792.977717915,349.031232803,6
A42, 34.389313235879,-1.08359880170431,1112.64021629,715.695516744,1540.844426,272.74711132,1708.98515286,1427.60470492,863.057373472,381.089126275,4
A43, 34.3890215456486,-1.08173064142284,1321.93618615,867.026868126,1494.37303912,390.93516039,1712.8927302,1605.40062303,1072.77311177,470.565447067,8
A44, 34.3918656930327,-1.07961408449452,1570.7314889,880.534400816,1128.76245814,483.577032205,1396.02772977,1636.91975219,1321.85953797,470.75744042,0
A45, 34.390449821949,-1.07583686140733,1975.4926939,1329.00804339,1280.26124505,914.691709298,1636.57916902,2084.32015085,1724.76081841,916.668317266,7
A46, 34.390996992588,-1.0759096035007,1970.4943189,1300.46344725,1218.91366012,899.09224022,1576.43031949,2052.70785322,1719.91830453,893.788559686,5
A47, 34.3909963220358,-1.07695615084556,1854.38888265,1191.02966252,1206.14834075,783.293934066,1542.09520202,1945.90094831,1603.85605804,780.602521921,5
A48, 34.3915146589279,-1.07715728097959,1837.07484626,1150.59491928,1147.3862353,756.971289691,1480.64209778,1902.5096657,1587.03845493,746.342429368,5
A49, 34.3910305202007,-1.07715258794329,1832.87465981,1169.26619734,1201.17837406,761.173345847,1532.85109443,1924.41019541,1582.37474134,758.501113667,5
A50, 34.3904880434275,-1.07696788343709,1849.97617953,1211.02878043,1262.47279208,789.969109625,1596.38080318,1968.4070836,1599.25021302,795.259721648,0
A51, 34.3901836127043,-1.07782872031421,1753.24006108,1138.59086532,1294.3076819,703.498141536,1608.24657667,1897.99527355,1502.52351889,717.740181446,7
A52, 34.3901463970542,-1.07814047192698,1718.49304696,1109.67302883,1299.47903537,671.03181318,1606.09455773,1869.33497787,1467.78308095,687.762132189,10
B1, 34.4049977883697,-1.07845389959152,2383.00911064,1477.52108377,364.372815235,1596.12649558,245.890059143,1782.92262855,2206.78999488,1485.13497641,14
B2, 34.4056442007423,-1.07846194479319,2433.7894471,1532.82253533,434.521945147,1662.39112027,273.838008418,1814.09920167,2261.36564221,1551.01490094,10
B3, 34.4038591906428,-1.08032709013699,2147.06291803,1249.33749191,375.147255814,1406.6835857,64.8713476084,1540.68166749,1976.75624894,1293.94931522,15
B4, 34.3999505415559,-1.07661087741788,2198.29118494,1286.59588918,237.438642824,1225.27487192,661.654230547,1827.04389828,1982.49587755,1128.93339923,7
B5, 34.3991827592254,-1.07628571696965,2187.56608794,1284.29208411,329.805244384,1188.76208888,749.973143246,1855.60983753,1966.35422791,1097.10675835,11
B6, 34.3995019420981,-1.07708185718089,2127.82955645,1217.68149283,265.413418175,1153.1992797,667.820478706,1769.99148954,1911.16220735,1056.64707694,5
B7, 34.3990727886558,-1.07771508181516,2042.96572005,1133.67468716,306.000276693,1070.99658249,671.020395524,1696.2174032,1826.10892653,973.370397128,9
B8, 34.3976770341396,-1.07695045215825,2046.00903058,1159.30858449,467.306090704,1021.48390298,847.956932324,1778.63779498,1818.53915925,935.099879888,0
B9, 34.3988843634725,-1.0756890306961,2230.98213551,1334.24728144,392.021122841,1215.32236128,818.343424392,1920.08000506,2006.4105126,1127.76063198,17
B10, 34.3982275575399,-1.07549359915529,2218.67538254,1331.98107231,465.428175412,1186.08052919,887.941425232,1939.97756041,1990.28761189,1103.10295954,6
B11, 34.3974061310291,-1.07550499653538,2180.62999201,1307.52223613,545.33485068,1131.81315392,959.369618014,1940.31087328,1948.33896183,1054.21447294,8
B12, 34.3972904607654,-1.07520296594884,2206.77403084,1337.56558309,572.041665701,1152.93073846,989.714911546,1974.42807172,1973.35016207,1077.47143419,8
B13 - NEED TO SURVEY, 34.3955527245998,-1.07624951353615,2030.79692114,1195.10538797,714.059108078,956.561948647,1093.64403881,1877.75171743,1791.62793591,891.544005052,6
B14, 34.4010354951024,-1.07810795590005,2125.47727229,1205.10826917,102.1779015,1221.33585727,462.820808549,1680.7325861,1922.72882775,1116.08726195,5
B15, 34.3988183140755,-1.07536152363007,2260.27924303,1366.12230843,419.080332665,1238.4335288,848.321694748,1956.15825553,2034.48624999,1152.61830396,11
B16, 34.3993252515793,-1.07926177181867,1911.68454628,994.115227827,331.448255074,992.102483552,581.331834757,1526.8062675,1703.30053313,886.715729864,8
B17, 34.3996015191078,-1.07959296584812,1898.51312624,978.956225933,329.253192594,999.941622722,543.047993136,1493.1933595,1693.81043442,892.602118753,11
B18, 34.39945936203,-1.08051916920248,1805.60939197,885.069785772,414.604546773,939.714812999,547.712575473,1389.09712914,1605.2248218,829.518713995,18
B19, 34.4000424072146,-1.08056308256479,1840.95334442,920.744392632,381.013618183,997.403802684,482.855424703,1392.69327094,1645.29646694,886.393038259,8
B20, 34.4005547091365,-1.08109004286294,1831.77449691,915.085322911,409.180806238,1030.70722778,429.673596061,1345.10273994,1643.68782242,918.291908682,8
B21, 34.4008091837168,-1.08120435166874,1840.79196485,926.251225446,412.516104393,1053.87631055,403.643476726,1338.68086766,1655.51412955,941.2005018,2
B22, 34.4008162245154,-1.08181109335173,1791.40091853,881.488417526,477.582280927,1037.02601864,419.813122938,1273.18782524,1610.94064235,923.85899588,15
B23, 34.4010706990957,-1.08249392901228,1756.67177073,856.930445096,546.634953229,1050.13318124,425.631991802,1206.89689738,1584.13767589,937.039360321,13
B24, 34.4011997804046,-1.08131363222391,1860.94811645,949.971236299,414.785203018,1092.15818402,363.483149921,1337.28310453,1679.49641771,979.249837291,11
B25, 34.4011397659779,-1.08101730089338,1880.78634354,967.228461482,383.606262716,1095.12835383,364.131932596,1367.51130031,1696.62430796,982.553371753,9
B26, 34.4013372436166,-1.08080510887084,1913.0109504,999.386344587,356.524084407,1123.24520954,339.831275972,1395.85634801,1728.75600651,1010.86241624,2
B27, 34.4016638025641,-1.08031267582619,1978.0205194,1063.46979341,298.168846929,1175.54443899,304.037285188,1458.23492677,1792.62516393,1063.73268323,4
B28, 34.4008846208453,-1.08042195641344,1912.14705123,994.161997373,326.91985816,1090.20416777,389.609751346,1425.40170489,1721.85256375,978.742962965,4
B29, 34.4030159711838,-1.08027379070829,2084.14470842,1178.78032863,321.855676801,1318.99544705,155.998163068,1509.82553651,1907.86087875,1206.57531951,13
B30, 34.4031970202923,-1.08079170021173,2058.11752812,1159.42263836,382.661921545,1321.63255855,134.240796677,1463.89116136,1886.96849516,1208.6921259,0
B31, 34.4034343957901,-1.08076052507907,2079.63652134,1182.80386003,390.847987742,1347.99667515,107.659934271,1477.4393248,1909.84668526,1235.03313084,4
B32 - CBO, 34.4050266221166,-1.07958357978301,2298.35769546,1402.9279239,416.735116553,1555.31676835,131.630319864,1671.77428281,2129.91577933,1442.9165663,15
B33, 34.4052398577332,-1.07918232547224,2346.08760389,1448.44121532,416.865663371,1592.18008052,182.026730735,1722.29550311,2176.11220849,1480.11832262,11
B34, 34.4047433137894,-1.07939217109165,2289.92104767,1390.31425882,378.769108532,1532.35850666,137.814882258,1676.64625689,2118.41637046,1420.26125979,4
B35, 34.4037525728345,-1.0786449731252,2271.51667959,1359.57255002,241.98411173,1460.51636807,226.258609987,1708.31949243,2089.00149505,1350.10813435,7
B36, 34.4034263491631,-1.07873447598684,2239.59995682,1326.34937328,215.990841249,1423.33464932,231.153264146,1686.03980516,2055.61134544,1313.03601416,5
B37*, 34.4028577208519,-1.0785323403068,2214.36058381,1297.5252225,152.119604836,1375.58569696,283.964474935,1686.32357261,2025.56379173,1266.26332385,7
B38, 34.4022917747498,-1.07867313132915,2161.6753248,1243.23052365,126.50726817,1312.24843874,314.784893489,1652.72072045,1970.08837038,1203.26745339,1
B39, 34.4031075015664,-1.07905762487364,2189.16132956,1275.898239,212.952884789,1376.4263067,220.910992625,1640.10934601,2005.18218046,1265.79112125,15
B40*, 34.403574205935,-1.07924333490302,2209.53264064,1300.22136934,264.202741869,1416.43863647,173.75083092,1639.1566362,2029.74132706,1305.14462075,10
B41, 34.4040834903717,-1.08212284455603,2034.48752392,1164.71624021,558.584139774,1387.46992765,174.939665902,1373.28374631,1880.55522716,1274.42229893,7
B42, 34.4036204740405,-1.08225659586934,1985.16534914,1112.25304199,551.241131928,1334.38365233,205.034581061,1335.95504384,1829.35493937,1221.37407044,21
B43*, 34.4032154604793,-1.08240308539621,1940.10216053,1064.88507902,552.188652656,1287.5357964,240.97656396,1301.27818469,1782.85352493,1174.58608865,7
B44, 34.401383176446,-1.08317676451907,1729.83681544,845.086292542,618.054871564,1075.66387122,441.436883972,1144.53367829,1566.33605652,963.356517418,5
B45, 34.4017435982823,-1.08369702004002,1722.28635263,853.812248691,674.017312059,1112.57937137,454.413381043,1103.79098919,1567.05811882,1001.28543473,9
B45, 34.4017435982823,-1.08369702004002,1722.28635263,853.812248691,674.017312059,1112.57937137,454.413381043,1103.79098919,1567.05811882,1001.28543473,9
B46, 34.4021167606115,-1.08329811278646,1782.55641146,910.526855819,630.441836949,1156.03150484,393.764086023,1160.43988039,1626.03433017,1043.99744325,16
B47, 34.4042393937707,-1.0824074432081,2028.46609591,1165.99224574,594.645402777,1400.36025745,203.980085944,1354.27284211,1878.18946862,1287.50908989,17
B48, 34.404274597764,-1.08281271968775,2004.28895517,1150.68164918,636.844219135,1399.41456549,248.702559294,1317.52354139,1858.12165386,1286.93807571,7
B48, 34.404274597764,-1.08281271968775,2004.28895517,1150.68164918,636.844219135,1399.41456549,248.702559294,1317.52354139,1858.12165386,1286.93807571,7
B49, 34.4042598456144,-1.08346505045022,1960.43024958,1121.96338321,702.458852099,1393.0282803,321.23646275,1255.19901012,1820.7443795,1281.4184865,6
B50, 34.4037995114922,-1.0836547828039,1906.45770845,1066.64581095,704.374901477,1341.19059255,348.180151393,1210.08134642,1765.73744602,1229.88198489,8
B50, 34.4037995114922,-1.0836547828039,1906.45770845,1066.64581095,704.374901477,1341.19059255,348.180151393,1210.08134642,1765.73744602,1229.88198489,8
B51, 34.404049962759,-1.08373925727556,1923.85094256,1089.68221627,722.36462566,1368.82415687,353.397813218,1216.92662541,1785.69177086,1257.67490239,5
B52, 34.4042367115617,-1.08422196849701,1911.17028803,1093.09763317,779.90509084,1389.66603197,405.43557834,1183.95900117,1779.50014829,1279.4799822,6
B53, 34.404208548367,-1.08503386178058,1860.80027401,1068.29912838,864.268111785,1391.35433661,495.766868723,1109.33848854,1738.368543,1283.1826094,9
B54, 34.4045079499483,-1.08539153724141,1869.76613606,1093.83717905,912.540443402,1428.40062147,535.320682666,1099.28911613,1753.49730827,1321.15101993,3
B55*, 34.4041321054101,-1.08584374355074,1808.91826147,1045.40390592,948.048036185,1393.54570014,586.108623304,1033.91337689,1696.11572393,1287.87979744,6
B56, 34.4046434015036,-1.08614879002217,1843.62288233,1098.51763604,997.127265048,1455.05395873,620.013374731,1046.79690547,1737.70650962,1350.10210509,7
B57, 34.4048583135009,-1.0870317485362,1823.55738041,1118.62217302,1097.87196808,1497.90158295,719.453175709,996.170664766,1730.56348726,1395.87232223,11
B58, 34.404811039567,-1.0887038044224,1752.46693906,1129.9003758,1274.7021681,1545.94115637,904.69247085,880.222011728,1683.4189587,1450.61766374,0
B59, 34.4050189107656,-1.08932227714464,1754.60806291,1166.14859536,1347.12620266,1592.13649029,974.772451183,865.815003655,1695.72746912,1499.0834906,8
