"","house_code","long","lat","kandida","kater","kawegi","near_kibuon_maranatha_church","near_munyu_maranatha_church","near_umbolwanda","shirikisho_church","unassessed","number_of_people","bondo_a_well_ewb_hope_college","bondo_concrete_water_tank","bondo_kokumu_well","bondo_water_kiosk","hand_dug_deep_well","kandwat","kapaul","kibuon_spring","koyanda","lela_b_well_ewb_oregon_state_sf_professional","lela_c","munyu_river","new_source","nyamilo_water_project_well","ogwedhi","ogwedhi_water_project","old_hand_dug_well","riamanyama","wadhanyim","wiyao_water_point","estimate"
"1","A1*",34.3947095051408,-1.08380898223452,1215.8114531,351.704889597,1047.27099304,330.609430198,1134.11601553,1083.90340472,993.396876847,219.323748522,10,2884.82204166,2463.40382539,2091.94467715,1818.39868354,756.004974154,515.785374743,579.166166918,418.478888509,425.871096255,3795.77404659,3368.46987085,1961.1952449,797.513367897,697.990611085,1298.58287529,1422.15449258,661.162097338,1191.7431359,485.414590617,1502.2109361,191.178683691917
"2","A2",34.3952026963234,-1.08270913786314,1349.73344565,476.013508559,927.421431938,409.404744294,1048.02840582,1183.0209123,1126.15041709,297.818223383,7,3013.03876972,2590.1073361,2192.76244754,1918.26090006,724.008342181,626.10325324,696.875200927,509.127263852,463.340429001,3918.97673893,3480.38208792,1926.34257922,681.736767371,770.747878971,1171.12513796,1540.72055854,784.717139127,1313.82459108,370.046213568,1629.4966755,146.454746819981
"3","A3",34.3951554223895,-1.08309798870754,1308.71973858,432.473208872,958.398484013,391.692764864,1063.70866941,1143.00972514,1086.7104733,278.631857388,10,2976.93154513,2546.5625952,2152.68478597,1878.32382911,744.085658281,583.88309423,653.839876446,469.800677201,435.638513684,3875.62874973,3438.44047911,1923.74803851,723.752812554,756.993063806,1206.54007102,1509.59739927,741.251785346,1270.50827817,397.928898311,1585.94071056,191.178683691917
"4","A4*",34.3943993747234,-1.08507743986148,1074.69632022,215.109020197,1168.77372775,320.692212052,1217.70368895,967.307213704,857.249074568,236.001453874,9,2757.12264328,2320.15305784,1970.31144443,1698.18688409,836.530890068,393.869991609,446.865747204,328.649221538,404.895195784,3654.54199518,3235.93056416,1983.03652196,937.128362348,667.669752694,1428.96472914,1313.25724289,521.888756411,1052.35635667,608.051048848,1358.82641032,176.270704734605
"5","A5*",34.3941308185458,-1.08550752196471,1018.44493031,178.751262971,1223.78221642,316.601863716,1264.95834598,938.061156135,800.998468186,248.767009928,6,2701.78104815,2270.4936138,1936.49029676,1665.43561878,857.169859435,365.782524684,409.840499284,323.070737958,427.493088235,3606.81579752,3194.83724612,2010.94994821,984.933365872,646.553508187,1484.98769283,1262.48375313,477.931644299,1007.03833352,663.603753503,1309.20957629,131.546767862669
"6","A6",34.3941039964557,-1.0860167149603,967.364551945,131.087269384,1266.91520292,348.334709942,1293.13324139,890.075259957,754.048667567,293.628113555,8,2658.64813232,2213.79668274,1885.18767498,1614.80527402,902.640036212,320.935995018,358.28872377,299.079395401,429.445926557,3550.22129164,3139.99964781,2013.14813107,1041.59309864,658.064786992,1531.62751648,1231.07023192,422.608079253,950.997408461,708.939995687,1252.51143933,161.362725777293
"7","A7",34.3937817960978,-1.08704649803081,850.415421128,113.143327982,1376.36247422,411.394115486,1380.92509047,813.840022022,643.417890215,383.759292083,12,2551.84508692,2097.56996623,1794.82204154,1527.09859111,984.137654834,270.753834622,278.6845378,310.699761001,484.005540099,3436.21400484,3035.83801805,2052.19253736,1157.18239404,668.471801645,1645.08755773,1146.38594093,321.403587203,842.182973098,821.97597317,1136.64847127,220.994641606541
"8","A8",34.3933244794607,-1.08758250802526,773.21235575,177.245062685,1454.70319412,439.535625002,1455.57267356,799.642712405,565.11450461,430.352462347,7,2473.76657281,2036.28837234,1763.74037744,1499.04371413,1016.46634562,293.987930175,276.36116122,365.866992015,551.145122418,3377.99086154,2989.79647015,2107.05622095,1220.01040552,655.352497201,1723.16470037,1075.34723506,291.507327776,793.736664112,900.04872589,1076.81485741,146.454746819981
"9","A9",34.3931266665459,-1.08798309079196,723.661302829,217.123171085,1502.90387177,473.056014201,1498.20700109,782.488724846,517.564183179,471.905665558,15,2426.83700458,1991.38724014,1734.72205153,1472.00171497,1049.46514986,306.972833516,274.108609019,396.528589694,588.430764645,3334.31424756,2952.1543188,2133.08792166,1266.39791639,664.013900276,1772.16503518,1037.7781526,270.390242765,756.24099808,949.057072127,1032.94058875,265.718578478477
"10","A10",34.3924152106047,-1.08743970612235,742.224080435,269.845826096,1510.81199286,394.020244866,1533.96548617,881.285907977,515.864128303,411.059316206,13,2414.59449611,2052.46456496,1826.11254874,1565.28715689,966.048378128,395.777254876,371.564027238,464.365945349,642.101324396,3398.82496061,3031.35983445,2206.6135118,1217.10977579,564.500228927,1771.88193131,990.740851372,368.950354332,838.168230716,950.898252751,1099.19931963,235.902620563853
